Employee ID,Age,Retirement Status,Designation,Salary,Years of Service,Gender,Death Status,Retirement Age,Dependent Wife,Dependent Children,Marital Status
399,50,Retired,Analyst,77047,34,Female,Alive,56,No,Yes,Yes
400,46,Active,Analyst,129596,22,Female,Dead,55,Yes,Yes,No
401,54,Retired,Director,80201,10,Other,Dead,55,No,No,No
402,26,Retired,Manager,93967,34,Female,Dead,67,No,No,Yes
403,38,Active,Director,128353,24,Other,Alive,63,Yes,Yes,No
404,51,Retired,Engineer,127438,8,Female,Dead,60,No,Yes,Yes
405,26,Active,Director,62211,28,Other,Dead,67,Yes,Yes,No
406,36,Retired,Manager,47818,11,Male,Dead,61,No,Yes,No
407,52,Active,Manager,129751,22,Female,Alive,60,No,Yes,Yes
408,30,Retired,Director,101653,16,Female,Alive,65,No,Yes,No
409,45,Retired,Clerk,125423,26,Female,Dead,63,No,No,Yes
410,28,Active,Engineer,45352,34,Other,Dead,62,Yes,No,Yes
411,59,Active,Clerk,116733,33,Female,Alive,65,Yes,Yes,Yes
412,30,Retired,Engineer,80931,21,Female,Dead,69,No,No,No
413,31,Active,Clerk,96600,39,Other,Dead,60,No,No,Yes
414,47,Active,Director,34449,14,Female,Dead,65,Yes,Yes,No
415,63,Retired,Clerk,119195,27,Other,Dead,69,Yes,Yes,Yes
416,61,Retired,Manager,147313,22,Other,Alive,56,Yes,Yes,Yes
417,34,Active,Clerk,62147,8,Female,Alive,60,Yes,No,No
418,49,Retired,Clerk,109740,18,Male,Alive,62,No,Yes,Yes
419,63,Active,Director,49330,36,Female,Alive,56,No,Yes,Yes
420,57,Retired,Analyst,107586,36,Female,Dead,68,No,No,Yes
421,61,Active,Manager,128457,28,Other,Dead,62,No,No,Yes
422,45,Active,Analyst,89397,23,Female,Dead,67,No,No,No
423,37,Active,Manager,57618,19,Other,Dead,64,No,No,Yes
424,41,Active,Engineer,64219,34,Other,Alive,62,Yes,No,Yes
425,56,Retired,Engineer,107843,28,Female,Alive,61,No,No,Yes
426,26,Retired,Manager,63824,39,Female,Dead,67,Yes,No,Yes
427,48,Retired,Engineer,64008,28,Female,Dead,64,Yes,No,No
428,34,Active,Analyst,109952,33,Other,Alive,69,No,Yes,Yes
429,54,Active,Director,146375,39,Female,Alive,55,Yes,No,Yes
430,64,Active,Engineer,85671,23,Female,Alive,62,Yes,Yes,Yes
431,27,Retired,Manager,33068,15,Male,Alive,68,Yes,Yes,Yes
432,32,Active,Director,125591,19,Male,Dead,57,Yes,No,No
433,37,Retired,Clerk,99425,24,Other,Alive,65,No,Yes,No
434,36,Active,Clerk,83668,23,Female,Alive,64,No,No,Yes
435,34,Retired,Director,86784,7,Male,Alive,68,No,Yes,Yes
436,25,Retired,Engineer,100964,12,Other,Alive,59,Yes,No,No
437,60,Active,Engineer,72628,27,Other,Dead,58,No,No,No
438,33,Retired,Manager,134214,10,Female,Dead,64,Yes,Yes,Yes
439,32,Active,Analyst,132548,20,Female,Alive,55,No,Yes,Yes
440,41,Active,Director,34235,28,Other,Alive,58,Yes,Yes,No
441,36,Active,Engineer,110230,22,Female,Alive,56,No,Yes,No
442,63,Retired,Clerk,118088,37,Female,Dead,68,No,No,Yes
443,46,Active,Manager,56637,3,Female,Dead,68,No,No,Yes
444,44,Retired,Director,113963,37,Other,Alive,60,Yes,Yes,No
445,36,Active,Director,117163,18,Other,Dead,61,No,No,No
446,32,Retired,Analyst,42261,17,Other,Alive,66,No,Yes,Yes
447,48,Retired,Director,54647,24,Other,Dead,59,No,Yes,Yes
448,43,Retired,Manager,56347,5,Other,Dead,55,Yes,No,Yes
449,28,Active,Director,127145,2,Male,Dead,60,No,No,Yes
450,28,Active,Director,119466,13,Male,Alive,65,No,Yes,Yes
451,38,Active,Manager,36934,34,Male,Dead,64,Yes,No,No
452,52,Retired,Clerk,31882,32,Male,Alive,59,Yes,Yes,No
453,63,Active,Analyst,67725,39,Other,Alive,69,Yes,Yes,Yes
454,36,Active,Director,39246,13,Male,Alive,60,No,No,Yes
455,50,Retired,Director,129476,36,Male,Dead,55,No,Yes,No
456,47,Retired,Clerk,66298,21,Male,Dead,59,No,Yes,No
457,35,Active,Engineer,87408,20,Female,Alive,69,No,Yes,No
458,34,Active,Clerk,83755,39,Female,Dead,67,Yes,No,Yes
459,49,Active,Manager,112962,1,Male,Alive,63,Yes,Yes,No
460,34,Retired,Director,61174,36,Female,Alive,69,No,No,Yes
461,35,Retired,Engineer,105502,25,Female,Dead,63,Yes,Yes,No
462,61,Active,Clerk,31092,18,Male,Alive,60,Yes,Yes,No
463,49,Retired,Director,63900,9,Other,Dead,60,Yes,Yes,Yes
464,50,Retired,Clerk,76784,4,Female,Dead,65,No,No,Yes
465,56,Active,Director,103979,39,Male,Alive,58,No,Yes,No
466,63,Retired,Manager,77910,33,Female,Dead,63,No,No,No
467,47,Retired,Analyst,134877,31,Male,Alive,65,Yes,No,Yes
468,50,Active,Analyst,97452,3,Male,Dead,63,Yes,Yes,Yes
469,56,Retired,Manager,45695,22,Female,Dead,67,No,No,Yes
470,36,Retired,Analyst,120901,22,Female,Alive,58,Yes,Yes,Yes
471,25,Active,Manager,108899,39,Female,Alive,62,No,Yes,Yes
472,60,Active,Engineer,49685,37,Female,Alive,56,No,No,No
473,36,Retired,Analyst,94247,7,Other,Dead,69,Yes,Yes,No
474,61,Active,Director,32092,6,Female,Alive,63,Yes,No,Yes
475,55,Retired,Analyst,123656,26,Other,Dead,57,Yes,No,Yes
476,31,Retired,Clerk,95573,32,Female,Alive,68,Yes,No,No
477,56,Retired,Engineer,95463,2,Female,Dead,69,Yes,Yes,Yes
478,40,Retired,Analyst,87289,13,Other,Alive,64,No,No,No
479,39,Active,Analyst,110831,9,Male,Dead,68,Yes,Yes,No
480,63,Retired,Clerk,123845,5,Female,Alive,62,No,No,Yes
481,64,Active,Director,116623,36,Female,Alive,68,Yes,No,No
482,44,Retired,Director,106725,6,Male,Alive,68,Yes,Yes,Yes
483,26,Active,Director,138893,16,Other,Alive,59,No,No,No
484,42,Retired,Clerk,46860,15,Male,Dead,67,Yes,No,Yes
485,61,Active,Manager,80782,10,Male,Alive,60,Yes,No,Yes
486,53,Retired,Director,61882,22,Other,Alive,63,Yes,No,Yes
487,53,Retired,Director,110936,12,Male,Alive,68,No,Yes,Yes
488,62,Active,Engineer,49894,29,Female,Dead,64,Yes,Yes,No
489,53,Retired,Director,127582,35,Female,Dead,65,No,Yes,Yes
490,52,Active,Analyst,72746,1,Other,Dead,64,Yes,Yes,No
491,28,Retired,Director,134720,19,Male,Dead,56,No,Yes,Yes
492,55,Active,Clerk,135652,23,Male,Alive,66,No,No,Yes
493,61,Active,Manager,34145,27,Female,Dead,65,Yes,No,Yes
494,51,Retired,Analyst,77125,3,Male,Dead,63,Yes,Yes,No
495,38,Retired,Manager,73061,10,Male,Dead,60,No,Yes,No
496,40,Active,Manager,148128,27,Other,Dead,63,No,Yes,Yes
497,28,Active,Manager,113916,18,Other,Dead,56,Yes,Yes,Yes
498,44,Active,Analyst,43969,13,Female,Alive,65,No,No,No
499,59,Active,Clerk,111050,15,Other,Alive,69,Yes,No,No
500,57,Retired,Clerk,40058,18,Male,Dead,60,Yes,No,No
